t_seg,v_seg,t_filt,v_filt,t_pks,v_pks,
5.036000e-06,2.000000e-02,5.036000e-06,2.742017e-04,,,
5.036200e-06,2.000000e-02,5.036200e-06,7.281960e-04,,,
5.036400e-06,2.000000e-02,5.036400e-06,1.349730e-03,,,
5.036600e-06,2.000000e-02,5.036600e-06,2.119050e-03,,,
5.036800e-06,-2.000000e-02,5.036800e-06,3.010985e-03,,,
5.037000e-06,-2.000000e-02,5.037000e-06,3.996043e-03,,,
5.037200e-06,-4.000000e-02,5.037200e-06,5.041164e-03,,,
5.037400e-06,0.000000e+00,5.037400e-06,6.111022e-03,,,
5.037600e-06,2.000000e-02,5.037600e-06,7.169063e-03,,,
5.037800e-06,2.000000e-02,5.037800e-06,8.179014e-03,,,
5.038000e-06,6.000000e-02,5.038000e-06,9.106551e-03,,,
5.038200e-06,4.000000e-02,5.038200e-06,9.920127e-03,,,
5.038400e-06,2.000000e-02,5.038400e-06,1.059293e-02,,,
5.038600e-06,0.000000e+00,5.038600e-06,1.110341e-02,,,
5.038800e-06,-4.000000e-02,5.038800e-06,1.143595e-02,,,
5.039000e-06,-2.000000e-02,5.039000e-06,1.158162e-02,,,
5.039200e-06,2.000000e-02,5.039200e-06,1.153789e-02,,,
5.039400e-06,6.000000e-02,5.039400e-06,1.130919e-02,,,
5.039600e-06,4.000000e-02,5.039600e-06,1.090684e-02,,,
5.039800e-06,2.000000e-02,5.039800e-06,1.034896e-02,,,
5.040000e-06,0.000000e+00,5.040000e-06,9.659457e-03,,,
5.040200e-06,-2.000000e-02,5.040200e-06,8.866907e-03,,,
5.040400e-06,-2.000000e-02,5.040400e-06,8.003556e-03,,,
5.040600e-06,0.000000e+00,5.040600e-06,7.103794e-03,,,
5.040800e-06,2.000000e-02,5.040800e-06,6.202993e-03,,,
5.041000e-06,0.000000e+00,5.041000e-06,5.336410e-03,,,
5.041200e-06,4.000000e-02,5.041200e-06,4.537801e-03,,,
5.041400e-06,2.000000e-02,5.041400e-06,3.837675e-03,,,
5.041600e-06,0.000000e+00,5.041600e-06,3.263135e-03,,,
5.041800e-06,-2.000000e-02,5.041800e-06,2.836098e-03,,,
5.042000e-06,-4.000000e-02,5.042000e-06,2.572703e-03,,,
5.042200e-06,-2.000000e-02,5.042200e-06,2.482583e-03,,,
5.042400e-06,2.000000e-02,5.042400e-06,2.568358e-03,,,
5.042600e-06,4.000000e-02,5.042600e-06,2.825832e-03,,,
5.042800e-06,2.000000e-02,5.042800e-06,3.244560e-03,,,
5.043000e-06,2.000000e-02,5.043000e-06,3.808352e-03,,,
5.043200e-06,-2.000000e-02,5.043200e-06,4.495839e-03,,,
5.043400e-06,-2.000000e-02,5.043400e-06,5.281429e-03,,,
5.043600e-06,-2.000000e-02,5.043600e-06,6.135927e-03,,,
5.043800e-06,2.000000e-02,5.043800e-06,7.028035e-03,,,
5.044000e-06,2.000000e-02,5.044000e-06,7.925646e-03,,,
5.044200e-06,4.000000e-02,5.044200e-06,8.797386e-03,,,
5.044400e-06,2.000000e-02,5.044400e-06,9.613560e-03,,,
5.044600e-06,2.000000e-02,5.044600e-06,1.034761e-02,,,
5.044800e-06,-2.000000e-02,5.044800e-06,1.097682e-02,,,
5.045000e-06,0.000000e+00,5.045000e-06,1.148357e-02,,,
5.045200e-06,0.000000e+00,5.045200e-06,1.185521e-02,,,
5.045400e-06,4.000000e-02,5.045400e-06,1.208511e-02,,,
5.045600e-06,4.000000e-02,5.045600e-06,1.217206e-02,,,
5.045800e-06,2.000000e-02,5.045800e-06,1.212100e-02,,,
5.046000e-06,0.000000e+00,5.046000e-06,1.194252e-02,,,
5.046200e-06,-4.000000e-02,5.046200e-06,1.165216e-02,,,
5.046400e-06,-2.000000e-02,5.046400e-06,1.126986e-02,,,
5.046600e-06,2.000000e-02,5.046600e-06,1.081824e-02,,,
5.046800e-06,2.000000e-02,5.046800e-06,1.032184e-02,,,
5.047000e-06,4.000000e-02,5.047000e-06,9.806214e-03,,,
5.047200e-06,4.000000e-02,5.047200e-06,9.296613e-03,,,
5.047400e-06,2.000000e-02,5.047400e-06,8.817046e-03,,,
5.047600e-06,2.000000e-02,5.047600e-06,8.389172e-03,,,
5.047800e-06,0.000000e+00,5.047800e-06,8.031274e-03,,,
5.048000e-06,-4.000000e-02,5.048000e-06,7.757490e-03,,,
5.048200e-06,-4.000000e-02,5.048200e-06,7.577120e-03,,,
5.048400e-06,0.000000e+00,5.048400e-06,7.494004e-03,,,
5.048600e-06,2.000000e-02,5.048600e-06,7.506046e-03,,,
5.048800e-06,6.000000e-02,5.048800e-06,7.605986e-03,,,
5.049000e-06,4.000000e-02,5.049000e-06,7.781440e-03,,,
5.049200e-06,0.000000e+00,5.049200e-06,8.015971e-03,,,
5.049400e-06,0.000000e+00,5.049400e-06,8.289519e-03,,,
5.049600e-06,-2.000000e-02,5.049600e-06,8.579054e-03,,,
5.049800e-06,-4.000000e-02,5.049800e-06,8.859773e-03,,,
5.050000e-06,2.000000e-02,5.050000e-06,9.106239e-03,,,
5.050200e-06,4.000000e-02,5.050200e-06,9.293042e-03,,,
5.050400e-06,6.000000e-02,5.050400e-06,9.396723e-03,,,
5.050600e-06,4.000000e-02,5.050600e-06,9.396710e-03,,,
5.050800e-06,0.000000e+00,5.050800e-06,9.276752e-03,,,
5.051000e-06,-4.000000e-02,5.051000e-06,9.025358e-03,,,
5.051200e-06,-2.000000e-02,5.051200e-06,8.636646e-03,,,
5.051400e-06,0.000000e+00,5.051400e-06,8.110109e-03,,,
5.051600e-06,0.000000e+00,5.051600e-06,7.451086e-03,,,
5.051800e-06,0.000000e+00,5.051800e-06,6.671164e-03,,,
5.052000e-06,4.000000e-02,5.052000e-06,5.787700e-03,,,
5.052200e-06,4.000000e-02,5.052200e-06,4.823201e-03,,,
5.052400e-06,2.000000e-02,5.052400e-06,3.804896e-03,,,
5.052600e-06,-2.000000e-02,5.052600e-06,2.763691e-03,,,
5.052800e-06,-4.000000e-02,5.052800e-06,1.733050e-03,,,
5.053000e-06,-2.000000e-02,5.053000e-06,7.474987e-04,,,
5.053200e-06,2.000000e-02,5.053200e-06,-1.587387e-04,,,
5.053400e-06,4.000000e-02,5.053400e-06,-9.530455e-04,,,
5.053600e-06,0.000000e+00,5.053600e-06,-1.605371e-03,,,
5.053800e-06,0.000000e+00,5.053800e-06,-2.089120e-03,,,
5.054000e-06,0.000000e+00,5.054000e-06,-2.382821e-03,,,
5.054200e-06,0.000000e+00,5.054200e-06,-2.470943e-03,,,
5.054400e-06,-4.000000e-02,5.054400e-06,-2.344558e-03,,,
5.054600e-06,-4.000000e-02,5.054600e-06,-2.001523e-03,,,
5.054800e-06,0.000000e+00,5.054800e-06,-1.447293e-03,,,
5.055000e-06,2.000000e-02,5.055000e-06,-6.950411e-04,,,
5.055200e-06,4.000000e-02,5.055200e-06,2.352686e-04,,,
5.055400e-06,0.000000e+00,5.055400e-06,1.317253e-03,,,
5.055600e-06,0.000000e+00,5.055600e-06,2.519315e-03,,,
5.055800e-06,-2.000000e-02,5.055800e-06,3.805019e-03,,,
5.056000e-06,-2.000000e-02,5.056000e-06,5.134756e-03,,,
5.056200e-06,2.000000e-02,5.056200e-06,6.466271e-03,,,
5.056400e-06,4.000000e-02,5.056400e-06,7.756309e-03,,,
5.056600e-06,4.000000e-02,5.056600e-06,8.962388e-03,,,
5.056800e-06,2.000000e-02,5.056800e-06,1.004428e-02,,,
5.057000e-06,0.000000e+00,5.057000e-06,1.096546e-02,,,
5.057200e-06,0.000000e+00,5.057200e-06,1.169412e-02,,,
5.057400e-06,-2.000000e-02,5.057400e-06,1.220407e-02,,,
5.057600e-06,-2.000000e-02,5.057600e-06,1.247601e-02,,,
5.057800e-06,0.000000e+00,5.057800e-06,1.249773e-02,,,
5.058000e-06,4.000000e-02,5.058000e-06,1.226457e-02,,,
5.058200e-06,4.000000e-02,5.058200e-06,1.177996e-02,,,
5.058400e-06,2.000000e-02,5.058400e-06,1.105555e-02,,,
5.058600e-06,0.000000e+00,5.058600e-06,1.011066e-02,,,
5.058800e-06,0.000000e+00,5.058800e-06,8.971702e-03,,,
5.059000e-06,-2.000000e-02,5.059000e-06,7.671140e-03,,,
5.059200e-06,0.000000e+00,5.059200e-06,6.246615e-03,,,
5.059400e-06,2.000000e-02,5.059400e-06,4.739438e-03,,,
5.059600e-06,4.000000e-02,5.059600e-06,3.193390e-03,,,
5.059800e-06,4.000000e-02,5.059800e-06,1.653512e-03,,,
5.060000e-06,0.000000e+00,5.060000e-06,1.649495e-04,,,
5.060200e-06,-2.000000e-02,5.060200e-06,-1.228299e-03,,,
5.060400e-06,-2.000000e-02,5.060400e-06,-2.485431e-03,,,
5.060600e-06,-4.000000e-02,5.060600e-06,-3.570035e-03,,,
5.060800e-06,-2.000000e-02,5.060800e-06,-4.450736e-03,,,
5.061000e-06,0.000000e+00,5.061000e-06,-5.102734e-03,,,
5.061200e-06,4.000000e-02,5.061200e-06,-5.508157e-03,,,
5.061400e-06,0.000000e+00,5.061400e-06,-5.656729e-03,,,
5.061600e-06,-2.000000e-02,5.061600e-06,-5.545281e-03,,,
5.061800e-06,-2.000000e-02,5.061800e-06,-5.178178e-03,,,
5.062000e-06,-2.000000e-02,5.062000e-06,-4.567418e-03,,,
5.062200e-06,-2.000000e-02,5.062200e-06,-3.731966e-03,,,
5.062400e-06,0.000000e+00,5.062400e-06,-2.697084e-03,,,
5.062600e-06,2.000000e-02,5.062600e-06,-1.493779e-03,,,
5.062800e-06,2.000000e-02,5.062800e-06,-1.574730e-04,,,
5.063000e-06,4.000000e-02,5.063000e-06,1.273456e-03,,,
5.063200e-06,0.000000e+00,5.063200e-06,2.758520e-03,,,
5.063400e-06,-2.000000e-02,5.063400e-06,4.256613e-03,,,
5.063600e-06,-2.000000e-02,5.063600e-06,5.727001e-03,,,
5.063800e-06,-4.000000e-02,5.063800e-06,7.130415e-03,,,
5.064000e-06,2.000000e-02,5.064000e-06,8.430540e-03,,,
5.064200e-06,4.000000e-02,5.064200e-06,9.594219e-03,,,
5.064400e-06,4.000000e-02,5.064400e-06,1.059318e-02,,,
5.064600e-06,4.000000e-02,5.064600e-06,1.140475e-02,,,
5.064800e-06,2.000000e-02,5.064800e-06,1.201232e-02,,,
5.065000e-06,0.000000e+00,5.065000e-06,1.240581e-02,,,
5.065200e-06,-4.000000e-02,5.065200e-06,1.258158e-02,,,
5.065400e-06,-2.000000e-02,5.065400e-06,1.254222e-02,,,
5.065600e-06,0.000000e+00,5.065600e-06,1.229620e-02,,,
5.065800e-06,4.000000e-02,5.065800e-06,1.185755e-02,,,
5.066000e-06,6.000000e-02,5.066000e-06,1.124549e-02,,,
5.066200e-06,4.000000e-02,5.066200e-06,1.048394e-02,,,
5.066400e-06,2.000000e-02,5.066400e-06,9.600614e-03,,,
5.066600e-06,0.000000e+00,5.066600e-06,8.625963e-03,,,
5.066800e-06,-4.000000e-02,5.066800e-06,7.592140e-03,,,
5.067000e-06,-4.000000e-02,5.067000e-06,6.532159e-03,,,
5.067200e-06,0.000000e+00,5.067200e-06,5.478326e-03,,,
5.067400e-06,2.000000e-02,5.067400e-06,4.461651e-03,,,
5.067600e-06,4.000000e-02,5.067600e-06,3.510938e-03,,,
5.067800e-06,2.000000e-02,5.067800e-06,2.652323e-03,,,
5.068000e-06,0.000000e+00,5.068000e-06,1.908503e-03,,,
5.068200e-06,-4.000000e-02,5.068200e-06,1.298139e-03,,,
5.068400e-06,-4.000000e-02,5.068400e-06,8.356965e-04,,,
5.068600e-06,0.000000e+00,5.068600e-06,5.304956e-04,,,
5.068800e-06,2.000000e-02,5.068800e-06,3.867011e-04,,,
5.069000e-06,6.000000e-02,5.069000e-06,4.035825e-04,,,
5.069200e-06,4.000000e-02,5.069200e-06,5.756217e-04,,,
5.069400e-06,0.000000e+00,5.069400e-06,8.935173e-04,,,
5.069600e-06,0.000000e+00,5.069600e-06,1.344294e-03,,,
5.069800e-06,-4.000000e-02,5.069800e-06,1.911494e-03,,,
5.070000e-06,-2.000000e-02,5.070000e-06,2.575800e-03,,,
5.070200e-06,0.000000e+00,5.070200e-06,3.315482e-03,,,
5.070400e-06,2.000000e-02,5.070400e-06,4.107297e-03,,,
5.070600e-06,2.000000e-02,5.070600e-06,4.927261e-03,,,
5.070800e-06,2.000000e-02,5.070800e-06,5.751457e-03,,,
5.071000e-06,2.000000e-02,5.071000e-06,6.556712e-03,,,
5.071200e-06,0.000000e+00,5.071200e-06,7.321055e-03,,,
